season,start_date,season_start,peak_date,harvest_date,end_date
2018-Yala Season,5/1/2018,5/25/2018,8/13/2018,11/13/2018,12/31/2018
2018-Maha Season,11/1/2018,12/1/2018,3/1/2019,4/1/2019,5/31/2019
2019-Yala Season,4/1/2019,5/13/2019,7/13/2019,11/1/2019,12/31/2019
2019-Maha Season,11/1/2019,12/1/2019,2/13/2020,4/1/2020,5/31/2020
2020-Yala Season,4/1/2020,5/1/2020,7/25/2020,11/25/2020,12/31/2020
2020-Maha Season,11/1/2020,12/13/2020,3/1/2021,4/13/2022,5/31/2022
2021-Yala Season,4/1/2021,5/13/2021,7/13/2021,11/13/2021,12/31/2021
2021-Maha Season,12/1/2021,12/25/2021,3/1/2022,5/13/2022,6/30/2023
2022-Yala Season,6/1/2022,7/1/2022,9/1/2022,10/13/2022,10/31/2022
2022-Maha Season,12/1/2022,1/1/2023,3/13/2023,5/13/2023,6/30/2023
2023-Yala Season,5/1/2023,6/13/2023,8/1/2023,11/1/2023,11/30/2023
2023-Maha Season,11/1/2023,12/1/2023,2/13/2024,4/13/2024,6/30/2024
2024-Yala Season,4/1/2024,5/1/2024,7/13/2024,9/13/2024,12/31/2024
2024-Maha Season,11/1/2024,12/13/2024,2/1/2025,3/25/2025,5/31/2025
2025-Yala Season,4/1/2025,5/1/2025,7/13/2025,9/13/2025,10/31/2025
